#
# Defects file
#
# Convert to a fits table using getDefectFits.py;  this is done for you by running scons
#
#CCD x0    y0    width height
5 2302 129 1 1
5 2302 130 1 1
5 2302 131 1 1
5 2303 130 1 1
5 2303 131 1 1
5 2303 132 1 1
5 2303 133 1 1
5 2303 134 1 1
5 2303 135 1 1
5 2303 136 1 1
5 2303 137 1 1
5 2303 138 1 1
5 2304 130 1 1
5 2304 132 1 1
5 2304 133 1 1
5 2304 135 1 1
5 2304 136 1 1
5 2304 137 1 1
5 2304 138 1 1
5 2305 133 1 1
5 2305 134 1 1
5 2305 135 1 1
5 2305 136 1 1
5 2305 137 1 1
5 2305 138 1 1
5 2306 134 1 1
5 2306 139 1 1
5 2306 140 1 1
5 2306 143 1 1
5 2307 141 1 1
5 2307 142 1 1
5 2307 143 1 1
5 2307 144 1 1
5 2307 147 1 1
5 2308 143 1 1
5 2308 144 1 1
5 2885 969 1 1
5 2885 970 1 1
5 2885 971 1 1
5 2886 971 1 1
5 2504 2762 1 1
5 2504 2763 1 1
# Dead amps
